Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method,cluster,Sales_Level
Foot Locker,1185732,3/16/2020,Northeast,New York,New York,Men's Street Footwear,41.0,375,1538,800.0,Outlet,0,High
Walmart,1197831,8/26/2020,South,Texas,Houston,Women's Street Footwear,29.0,374,1085,445.0,Outlet,0,High
Walmart,1197831,9/1/2020,South,Texas,Houston,Women's Street Footwear,29.0,374,1085,445.0,Outlet,0,High
Foot Locker,1185732,1/31/2020,Northeast,New York,New York,Men's Street Footwear,33.0,372,1228,663.0,Outlet,0,High
Foot Locker,1185732,2/6/2020,Northeast,New York,New York,Men's Street Footwear,44.0,366,1610,837.0,Outlet,0,High
Walmart,1185732,4/19/2020,Northeast,New York,New York,Men's Street Footwear,56.0,360,2016,1250.0,Online,1,Low
Foot Locker,1185732,3/17/2020,Northeast,New York,New York,Men's Athletic Footwear,37.0,359,1328,452.0,Outlet,0,High
Walmart,1185732,4/18/2020,Northeast,New York,New York,Women's Apparel,48.0,355,1704,511.0,Outlet,0,High
Foot Locker,1185732,1/25/2020,Northeast,New York,New York,Men's Street Footwear,46.0,354,1628,1026.0,Online,0,High
Foot Locker,1185732,3/15/2020,Northeast,New York,New York,Women's Apparel,47.0,352,1654,447.0,Outlet,0,High
Foot Locker,1185732,3/17/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,25.0,350,8750,3063.0,In-store,0,High
Foot Locker,1185732,6/18/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25.0,350,8750,3500.0,In-store,0,High
Foot Locker,1185732,10/18/2021,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25.0,350,8750,3063.0,In-store,0,High
Foot Locker,1185732,11/18/2021,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25.0,350,8750,3063.0,In-store,0,High
West Gear,1185732,5/12/2021,West,Utah,Salt Lake City,Women's Street Footwear,25.0,350,8750,3063.0,In-store,0,High
West Gear,1185732,9/12/2021,West,Utah,Salt Lake City,Women's Street Footwear,10.0,350,3500,1225.0,In-store,0,High
Amazon,1185732,4/10/2021,Midwest,Ohio,Columbus,Women's Athletic Footwear,25.0,350,8750,3500.0,Online,0,High
Walmart,1185732,10/18/2021,South,Mississippi,Jackson,Women's Athletic Footwear,25.0,350,8750,3500.0,Online,0,High
Sports Direct,1197831,2/21/2021,South,Mississippi,Jackson,Men's Athletic Footwear,25.0,350,8750,3063.0,Online,0,High
Walmart,1197831,3/19/2021,South,Arkansas,Little Rock,Women's Street Footwear,10.0,350,3500,1400.0,Online,0,High
Walmart,1197831,3/19/2021,South,Arkansas,Little Rock,Women's Apparel,25.0,350,8750,3500.0,Online,0,High
Walmart,1197831,9/19/2021,South,Arkansas,Little Rock,Women's Street Footwear,15.0,350,5250,2100.0,Online,0,High
West Gear,1197831,2/21/2021,South,Oklahoma,Oklahoma City,Women's Apparel,20.0,350,7000,2800.0,Online,0,High
West Gear,1197831,10/21/2021,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,20.0,350,7000,2450.0,Online,0,High
Kohl's,1197831,1/16/2021,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,25.0,350,8750,3063.0,Online,0,High
Kohl's,1197831,1/16/2021,South,Oklahoma,Oklahoma City,Women's Street Footwear,15.0,350,5250,1838.0,Online,0,High
Kohl's,1197831,1/16/2021,South,Oklahoma,Oklahoma City,Women's Apparel,25.0,350,8750,3063.0,Online,0,High
West Gear,1185732,2/17/2021,Northeast,West Virginia,Charleston,Women's Apparel,25.0,350,8750,3500.0,In-store,0,High
Foot Locker,1185732,1/3/2020,Northeast,New York,New York,Women's Street Footwear,32.0,350,1120,414.0,Outlet,0,High
Foot Locker,1185732,1/24/2020,Northeast,New York,New York,Women's Apparel,36.0,350,1260,365.0,Outlet,0,High
Walmart,1185732,4/20/2020,Northeast,New York,New York,Men's Athletic Footwear,43.0,350,1505,497.0,Outlet,0,High
Walmart,1185732,4/24/2020,Northeast,New York,New York,Women's Apparel,45.0,350,1575,473.0,Outlet,0,High
Walmart,1197831,8/23/2020,South,Texas,Houston,Women's Apparel,38.0,350,1330,758.0,Outlet,0,High
Foot Locker,1185732,1/9/2021,Southeast,Georgia,Atlanta,Men's Street Footwear,26.0,349,907,426.0,Outlet,0,High
Foot Locker,1185732,3/9/2020,Northeast,New York,New York,Women's Apparel,46.0,347,1596,511.0,Outlet,0,High
West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,Women's Street Footwear,20.0,345,6900,2415.0,In-store,0,High
West Gear,1128299,1/6/2021,West,California,San Francisco,Men's Street Footwear,41.0,341,1398,601.0,Outlet,0,High
Foot Locker,1185732,3/5/2020,Northeast,New York,New York,Men's Athletic Footwear,41.0,340,1394,474.0,Outlet,0,High
Walmart,1185732,7/18/2020,Northeast,New York,New York,Women's Apparel,48.0,340,1632,490.0,Outlet,0,High
West Gear,1128299,1/12/2021,West,California,San Francisco,Men's Street Footwear,41.0,338,1386,527.0,Outlet,0,High
Foot Locker,1185732,1/1/2020,Northeast,New York,New York,Men's Street Footwear,47.0,336,1579,963.0,Online,0,High
Foot Locker,1185732,2/5/2020,Northeast,New York,New York,Women's Apparel,39.0,333,1299,351.0,Outlet,0,High
Walmart,1185732,5/5/2020,Northeast,New York,New York,Women's Street Footwear,42.0,333,1399,559.0,Outlet,0,High
Walmart,1197831,10/26/2020,South,Texas,Houston,Men's Street Footwear,32.0,333,1066,426.0,Outlet,0,High
Walmart,1197831,10/27/2020,South,Texas,Houston,Men's Athletic Footwear,34.0,333,1132,476.0,Outlet,0,High
West Gear,1128299,2/12/2021,West,California,San Francisco,Men's Athletic Footwear,46.0,332,1527,321.0,Outlet,0,High
Sports Direct,1197831,9/24/2021,South,Texas,Dallas,Women's Street Footwear,35.0,332,1162,546.0,Outlet,0,High
Foot Locker,1185732,1/6/2020,Northeast,New York,New York,Women's Apparel,38.0,330,1254,401.0,Outlet,0,High
Walmart,1185732,4/26/2020,Northeast,New York,New York,Women's Apparel,50.0,330,1650,462.0,Outlet,0,High
Foot Locker,1185732,8/6/2021,Southeast,South Carolina,Charleston,Men's Street Footwear,62.0,326,2021,1152.0,Online,1,Low
Foot Locker,1185732,8/18/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25.0,325,8125,3250.0,In-store,0,High
Foot Locker,1185732,11/18/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25.0,325,8125,3250.0,In-store,0,High
West Gear,1185732,1/11/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,20.0,325,6500,2600.0,In-store,0,High
West Gear,1185732,4/11/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,25.0,325,8125,2844.0,In-store,0,High
West Gear,1185732,4/11/2021,West,Utah,Salt Lake City,Women's Street Footwear,15.0,325,4875,1706.0,In-store,0,High
West Gear,1185732,9/12/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,10.0,325,3250,1300.0,In-store,0,High
West Gear,1185732,9/12/2021,West,Utah,Salt Lake City,Men's Apparel,20.0,325,6500,2275.0,In-store,0,High
Amazon,1185732,3/9/2021,Midwest,Ohio,Columbus,Women's Athletic Footwear,25.0,325,8125,3250.0,Online,0,High
Foot Locker,1185732,2/18/2021,South,Mississippi,Jackson,Women's Athletic Footwear,25.0,325,8125,3250.0,Online,0,High
Walmart,1197831,3/19/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,20.0,325,6500,2275.0,Online,0,High
Walmart,1197831,9/19/2021,South,Arkansas,Little Rock,Women's Athletic Footwear,15.0,325,4875,1950.0,Online,0,High
Walmart,1197831,9/19/2021,South,Arkansas,Little Rock,Men's Apparel,25.0,325,8125,2844.0,Online,0,High
West Gear,1197831,2/21/2021,South,Arkansas,Little Rock,Women's Street Footwear,15.0,325,4875,1950.0,Online,0,High
Kohl's,1197831,2/14/2021,Midwest,Kansas,Wichita,Women's Apparel,20.0,325,6500,2275.0,Online,0,High
Kohl's,1197831,10/14/2021,Midwest,Kansas,Wichita,Men's Athletic Footwear,20.0,325,6500,2275.0,Online,0,High
West Gear,1185732,3/16/2021,Northeast,West Virginia,Charleston,Women's Street Footwear,20.0,325,6500,2600.0,In-store,0,High
Foot Locker,1185732,3/16/2020,Northeast,New York,New York,Men's Street Footwear,58.0,325,1885,1150.0,Online,1,Low
Foot Locker,1185732,3/31/2020,Northeast,New York,New York,Women's Athletic Footwear,40.0,324,1296,518.0,Outlet,0,High
Sports Direct,1185732,5/24/2020,Southeast,Florida,Miami,Men's Street Footwear,63.0,323,2035,1140.0,Online,1,Low
Foot Locker,1185732,1/21/2020,Northeast,New York,New York,Women's Street Footwear,32.0,323,1034,393.0,Outlet,0,High
Foot Locker,1185732,1/30/2020,Northeast,New York,New York,Women's Apparel,36.0,323,1163,314.0,Outlet,0,High
Walmart,1197831,8/19/2020,South,Texas,Houston,Men's Athletic Footwear,33.0,323,1066,448.0,Outlet,0,High
Walmart,1185732,5/2/2020,Northeast,New York,New York,Women's Apparel,53.0,322,1707,478.0,Outlet,1,Low
West Gear,1128299,2/11/2021,West,California,San Francisco,Men's Street Footwear,40.0,322,1288,425.0,Outlet,0,High
Sports Direct,1197831,9/18/2021,South,Texas,Dallas,Women's Street Footwear,33.0,322,1063,446.0,Outlet,0,High
Sports Direct,1197831,4/17/2021,South,Tennessee,Knoxville,Women's Street Footwear,30.0,322,966,483.0,Outlet,0,High
Sports Direct,1197831,9/8/2021,South,Alabama,Birmingham,Women's Street Footwear,31.0,322,998,559.0,Outlet,0,High
West Gear,1197831,11/20/2021,South,Arkansas,Little Rock,Women's Street Footwear,25.0,320,8000,3200.0,Online,0,High
Foot Locker,1185732,1/2/2020,Northeast,New York,New York,Men's Athletic Footwear,36.0,320,1152,403.0,Outlet,0,High
Foot Locker,1185732,3/3/2020,Northeast,New York,New York,Women's Apparel,44.0,320,1408,408.0,Outlet,0,High
Foot Locker,1185732,3/10/2020,Northeast,New York,New York,Men's Street Footwear,59.0,319,1882,1129.0,Online,1,Low
Walmart,1197831,8/26/2020,South,Texas,Houston,Women's Street Footwear,37.0,319,1180,531.0,Online,0,High
Foot Locker,1185732,8/12/2020,Southeast,Florida,Miami,Men's Street Footwear,43.0,319,1372,782.0,Online,0,High
Foot Locker,1185732,3/11/2020,Northeast,New York,New York,Men's Athletic Footwear,41.0,318,1304,482.0,Outlet,0,High
Foot Locker,1185732,2/6/2020,Northeast,New York,New York,Men's Street Footwear,54.0,317,1712,1096.0,Online,1,Low
Foot Locker,1185732,1/8/2020,Northeast,New York,New York,Men's Athletic Footwear,39.0,315,1229,405.0,Outlet,0,High
Foot Locker,1185732,1/26/2020,Northeast,New York,New York,Men's Athletic Footwear,35.0,315,1103,397.0,Outlet,0,High
Foot Locker,1185732,2/1/2020,Northeast,New York,New York,Men's Athletic Footwear,35.0,315,1103,364.0,Outlet,0,High
Foot Locker,1185732,2/2/2020,Northeast,New York,New York,Women's Street Footwear,28.0,315,882,335.0,Outlet,0,High
Walmart,1185732,4/21/2020,Northeast,New York,New York,Women's Street Footwear,36.0,315,1134,442.0,Outlet,0,High
Walmart,1185732,4/23/2020,Northeast,New York,New York,Men's Apparel,44.0,315,1386,513.0,Outlet,0,High
Walmart,1197831,8/12/2020,South,Texas,Houston,Men's Street Footwear,24.0,315,756,295.0,Outlet,0,High
Walmart,1197831,9/7/2020,South,Texas,Houston,Women's Street Footwear,36.0,315,1134,431.0,Outlet,0,High
Kohl's,1189833,5/25/2021,West,California,Los Angeles,Men's Street Footwear,39.0,315,1229,565.0,Outlet,0,High
Foot Locker,1185732,1/27/2020,Northeast,New York,New York,Women's Street Footwear,27.0,314,848,348.0,Outlet,0,High
Foot Locker,1185732,3/18/2020,Northeast,New York,New York,Women's Street Footwear,37.0,314,1162,430.0,Outlet,0,High
Sports Direct,1197831,4/23/2021,South,Tennessee,Knoxville,Women's Street Footwear,39.0,314,1225,576.0,Outlet,0,High
Foot Locker,1185732,1/7/2020,Northeast,New York,New York,Men's Street Footwear,46.0,313,1440,893.0,Online,0,High
Foot Locker,1185732,3/4/2020,Northeast,New York,New York,Men's Street Footwear,55.0,313,1722,1050.0,Online,1,Low
Walmart,1185732,5/3/2020,Northeast,New York,New York,Men's Street Footwear,62.0,312,1934,1238.0,Online,1,Low
Foot Locker,1185732,2/7/2021,Southeast,Georgia,Atlanta,Men's Street Footwear,38.0,312,1186,700.0,Online,0,High
Walmart,1185732,4/28/2020,Northeast,New York,New York,Men's Athletic Footwear,40.0,312,1248,449.0,Outlet,0,High
Foot Locker,1185732,7/5/2021,Southeast,South Carolina,Charleston,Men's Street Footwear,63.0,311,1959,1156.0,Online,1,Low
Walmart,1185732,5/4/2020,Northeast,New York,New York,Men's Athletic Footwear,43.0,310,1333,467.0,Outlet,0,High
Foot Locker,1185732,3/17/2020,Northeast,New York,New York,Men's Athletic Footwear,53.0,308,1632,669.0,Online,0,High
Sports Direct,1185732,8/3/2021,Southeast,North Carolina,Charlotte,Men's Street Footwear,61.0,308,1879,996.0,Online,1,Low
Foot Locker,1185732,1/5/2020,Northeast,New York,New York,Men's Apparel,43.0,306,1316,487.0,Outlet,0,High
Foot Locker,1185732,1/23/2020,Northeast,New York,New York,Men's Apparel,43.0,306,1316,461.0,Outlet,0,High
Walmart,1185732,4/22/2020,Northeast,New York,New York,Women's Athletic Footwear,34.0,306,1040,406.0,Outlet,0,High
Walmart,1185732,5/6/2020,Northeast,New York,New York,Women's Athletic Footwear,41.0,306,1255,502.0,Outlet,0,High
Sports Direct,1197831,7/31/2020,South,Texas,Houston,Men's Street Footwear,20.0,306,612,257.0,Outlet,0,High
Sports Direct,1197831,8/6/2020,South,Texas,Houston,Men's Street Footwear,23.0,306,704,260.0,Outlet,0,High
Sports Direct,1197831,8/7/2020,South,Texas,Houston,Men's Athletic Footwear,29.0,306,887,364.0,Outlet,0,High
Walmart,1197831,10/21/2020,South,Texas,Houston,Men's Athletic Footwear,31.0,306,949,379.0,Outlet,0,High
Walmart,1197831,10/31/2020,South,Texas,Houston,Women's Apparel,41.0,306,1255,690.0,Outlet,0,High
West Gear,1128299,1/11/2021,West,California,San Francisco,Women's Apparel,60.0,306,1836,477.0,Outlet,1,Low
West Gear,1128299,2/6/2021,West,California,San Francisco,Men's Athletic Footwear,46.0,306,1408,282.0,Outlet,0,High
Kohl's,1189833,5/1/2021,West,California,Los Angeles,Men's Street Footwear,36.0,306,1102,496.0,Outlet,0,High
Sports Direct,1197831,4/14/2021,South,Tennessee,Knoxville,Women's Apparel,37.0,306,1132,668.0,Outlet,0,High
West Gear,1128299,7/16/2021,South,Louisiana,New Orleans,Men's Street Footwear,62.0,306,1897,816.0,Outlet,1,Low
Foot Locker,1185732,3/9/2020,Northeast,New York,New York,Women's Apparel,64.0,305,1952,761.0,Online,1,Low
Walmart,1197831,8/30/2020,South,Texas,Houston,Men's Street Footwear,27.0,305,824,305.0,Outlet,0,High
Walmart,1197831,8/31/2020,South,Texas,Houston,Men's Athletic Footwear,33.0,305,1007,382.0,Outlet,0,High
Foot Locker,1197831,8/8/2021,West,Idaho,Boise,Women's Street Footwear,39.0,305,1190,511.0,Outlet,0,High
West Gear,1185732,9/17/2020,Southeast,Florida,Miami,Men's Street Footwear,60.0,304,1824,1040.0,Online,1,Low
Walmart,1197831,8/29/2020,South,Texas,Houston,Women's Apparel,36.0,302,1087,565.0,Outlet,0,High
West Gear,1128299,1/18/2021,West,California,San Francisco,Men's Street Footwear,45.0,302,1359,544.0,Outlet,0,High
Sports Direct,1197831,4/1/2021,South,Tennessee,Knoxville,Men's Apparel,30.0,300,9000,3150.0,Outlet,0,High
Sports Direct,1197831,9/28/2021,South,Alabama,Birmingham,Men's Apparel,30.0,300,9000,4050.0,Outlet,0,High
Foot Locker,1185732,5/19/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,30.0,300,9000,3150.0,In-store,0,High
Foot Locker,1185732,9/19/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,15.0,300,4500,1575.0,In-store,0,High
West Gear,1185732,2/11/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,20.0,300,6000,2400.0,In-store,0,High
West Gear,1185732,10/11/2021,West,Utah,Salt Lake City,Women's Street Footwear,20.0,300,6000,2100.0,In-store,0,High
Amazon,1185732,1/22/2021,Midwest,Ohio,Columbus,Women's Street Footwear,30.0,300,9000,3600.0,Online,0,High
Foot Locker,1185732,4/17/2021,South,Mississippi,Jackson,Women's Athletic Footwear,20.0,300,6000,2400.0,Online,0,High
Sports Direct,1197831,1/23/2021,South,Mississippi,Jackson,Women's Athletic Footwear,20.0,300,6000,2400.0,Online,0,High
Walmart,1197831,4/20/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,25.0,300,7500,2625.0,Online,0,High
Walmart,1197831,4/20/2021,South,Arkansas,Little Rock,Women's Street Footwear,15.0,300,4500,1800.0,Online,0,High
Walmart,1197831,10/21/2021,South,Arkansas,Little Rock,Women's Street Footwear,20.0,300,6000,2400.0,Online,0,High
Kohl's,1197831,11/20/2021,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,15.0,300,4500,1575.0,Online,0,High
Kohl's,1197831,2/14/2021,South,Oklahoma,Oklahoma City,Women's Street Footwear,15.0,300,4500,1575.0,Online,0,High
Kohl's,1197831,4/13/2021,Midwest,Kansas,Wichita,Women's Apparel,30.0,300,9000,3150.0,Online,0,High
Foot Locker,1197831,10/14/2021,Midwest,Kansas,Wichita,Women's Apparel,30.0,300,9000,3150.0,Online,0,High
West Gear,1185732,6/3/2021,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,30.0,300,9000,3150.0,In-store,0,High
West Gear,1185732,1/10/2021,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,25.0,300,7500,2625.0,In-store,0,High
West Gear,1185732,2/10/2021,Midwest,Indiana,Indianapolis,Women's Apparel,20.0,300,6000,2400.0,In-store,0,High
West Gear,1185732,1/17/2021,Midwest,Indiana,Indianapolis,Women's Street Footwear,25.0,300,7500,3000.0,In-store,0,High
West Gear,1185732,2/17/2021,Midwest,Indiana,Indianapolis,Women's Street Footwear,30.0,300,9000,3600.0,In-store,0,High
Sports Direct,1185732,1/7/2021,Northeast,New Jersey,Newark,Women's Street Footwear,30.0,300,9000,2700.0,In-store,0,High
Foot Locker,1185732,1/31/2020,Northeast,New York,New York,Men's Street Footwear,45.0,300,1350,837.0,Online,0,High
Walmart,1185732,5/4/2020,Northeast,New York,New York,Men's Athletic Footwear,51.0,300,1530,643.0,Online,0,High
West Gear,1185732,4/24/2020,Southeast,Florida,Miami,Men's Street Footwear,52.0,300,1560,874.0,Online,0,High
Walmart,1185732,4/27/2020,Northeast,New York,New York,Men's Street Footwear,60.0,299,1794,1076.0,Online,1,Low
West Gear,1185732,9/11/2020,Southeast,Florida,Miami,Men's Street Footwear,60.0,299,1794,1076.0,Online,1,Low
Walmart,1197831,9/10/2020,South,Texas,Houston,Women's Apparel,42.0,298,1252,713.0,Outlet,0,High
Walmart,1197831,10/28/2020,South,Texas,Houston,Women's Street Footwear,38.0,298,1132,430.0,Outlet,0,High
West Gear,1128299,7/23/2021,West,Oregon,Portland,Men's Street Footwear,60.0,298,1788,751.0,Outlet,1,Low
Walmart,1197831,9/1/2020,South,Texas,Houston,Women's Street Footwear,39.0,297,1158,533.0,Online,0,High
Foot Locker,1185732,3/7/2020,Northeast,New York,New York,Women's Athletic Footwear,38.0,297,1129,429.0,Outlet,0,High
Kohl's,1189833,4/19/2021,West,California,Los Angeles,Men's Street Footwear,36.0,297,1069,470.0,Outlet,0,High
Walmart,1128299,7/16/2021,Southeast,Florida,Orlando,Men's Street Footwear,68.0,297,2020,747.0,Outlet,1,Low
Foot Locker,1185732,2/7/2020,Northeast,New York,New York,Men's Athletic Footwear,37.0,296,1095,383.0,Outlet,0,High
Foot Locker,1185732,3/6/2020,Northeast,New York,New York,Women's Street Footwear,37.0,296,1095,449.0,Outlet,0,High
Foot Locker,1185732,11/18/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,25.0,295,7375,2581.0,In-store,0,High
Foot Locker,1185732,3/12/2020,Northeast,New York,New York,Women's Street Footwear,35.0,295,1033,434.0,Outlet,0,High
Walmart,1197831,8/17/2020,South,Texas,Houston,Women's Apparel,32.0,295,944,538.0,Outlet,0,High
Walmart,1197831,8/18/2020,South,Texas,Houston,Men's Street Footwear,28.0,295,826,339.0,Outlet,0,High
Walmart,1197831,8/24/2020,South,Texas,Houston,Men's Street Footwear,29.0,295,856,342.0,Outlet,0,High
Sports Direct,1185732,7/2/2021,Southeast,North Carolina,Charlotte,Men's Street Footwear,60.0,294,1764,882.0,Online,1,Low
Walmart,1185732,4/29/2020,Northeast,New York,New York,Women's Street Footwear,43.0,294,1264,531.0,Outlet,0,High
Walmart,1197831,8/29/2020,South,Texas,Houston,Women's Apparel,47.0,293,1377,868.0,Online,0,High
West Gear,1128299,2/11/2021,West,California,San Francisco,Men's Street Footwear,51.0,293,1494,598.0,Online,0,High
Foot Locker,1185732,1/24/2020,Northeast,New York,New York,Women's Apparel,48.0,290,1392,529.0,Online,0,High
Foot Locker,1185732,3/3/2020,Northeast,New York,New York,Women's Apparel,59.0,290,1711,616.0,Online,1,Low
Walmart,1185732,4/18/2020,Northeast,New York,New York,Women's Apparel,62.0,290,1798,665.0,Online,1,Low
Walmart,1185732,4/26/2020,Northeast,New York,New York,Women's Apparel,68.0,290,1972,749.0,Online,1,Low
Walmart,1185732,7/18/2020,Northeast,New York,New York,Women's Apparel,68.0,290,1972,690.0,Online,1,Low
West Gear,1185732,4/24/2020,Southeast,Florida,Miami,Men's Street Footwear,55.0,290,1595,941.0,Online,0,High
Foot Locker,1185732,12/5/2021,Southeast,South Carolina,Charleston,Men's Street Footwear,67.0,290,1943,1166.0,Online,1,Low
Foot Locker,1185732,1/29/2020,Northeast,New York,New York,Men's Apparel,43.0,289,1243,398.0,Outlet,0,High
Foot Locker,1185732,2/3/2020,Northeast,New York,New York,Women's Athletic Footwear,31.0,289,896,331.0,Outlet,0,High
Foot Locker,1185732,2/9/2020,Northeast,New York,New York,Women's Athletic Footwear,33.0,289,954,381.0,Outlet,0,High
Walmart,1185732,4/25/2020,Northeast,New York,New York,Men's Apparel,51.0,289,1474,472.0,Outlet,0,High
Sports Direct,1197831,7/26/2020,South,Texas,Houston,Men's Athletic Footwear,23.0,289,665,279.0,Outlet,0,High
Walmart,1197831,10/25/2020,South,Texas,Houston,Women's Apparel,44.0,289,1272,725.0,Outlet,0,High
West Gear,1128299,11/7/2020,West,California,San Francisco,Men's Street Footwear,28.0,289,809,340.0,Outlet,0,High
