InvoiceDate,Retailer,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method,Sales_Level,month_year
22442,West Gear,West,Utah,Salt Lake City,Women's Athletic Footwear,20,400,8000,3200,In-store,Low,22281
22539,Walmart,South,Mississippi,Jackson,Women's Athletic Footwear,20,400,8000,3200,Online,High,22281
22332,Sports Direct,South,Mississippi,Jackson,Women's Street Footwear,15,400,6000,2400,Online,Low,22281
21978,Foot Locker,Northeast,New York,New York,Men's Street Footwear,47,400,1880,978,Outlet,Low,21915
21939,Foot Locker,Northeast,New York,New York,Men's Street Footwear,40,390,1560,811,Outlet,High,21915
21921,Foot Locker,Northeast,New York,New York,Men's Street Footwear,33,388,1280,666,Outlet,High,21915
21915,Foot Locker,Northeast,New York,New York,Men's Street Footwear,34,384,1306,679,Outlet,High,21915
22318,Foot Locker,Southeast,Georgia,Atlanta,Men's Street Footwear,31,376,1166,559,Outlet,High,22281
22514,Sports Direct,South,Alabama,Birmingham,Women's Athletic Footwear,20,375,7500,4125,Outlet,High,22281
22329,Foot Locker,Midwest,Michigan,Detroit,Women's Street Footwear,20,375,7500,2625,In-store,Low,22281
22503,West Gear,West,Utah,Salt Lake City,Women's Athletic Footwear,20,375,7500,3000,In-store,Low,22281
22387,Foot Locker,South,Mississippi,Jackson,Women's Street Footwear,15,375,5625,2250,Online,Low,22281
22303,West Gear,South,Arkansas,Little Rock,Women's Street Footwear,15,375,5625,2250,Online,Low,22281
21990,Foot Locker,Northeast,New York,New York,Men's Street Footwear,41,375,1538,800,Outlet,High,21915
22153,Walmart,South,Texas,Houston,Women's Street Footwear,29,374,1085,445,Outlet,Low,21915
22159,Walmart,South,Texas,Houston,Women's Street Footwear,29,374,1085,445,Outlet,Low,21915
21945,Foot Locker,Northeast,New York,New York,Men's Street Footwear,33,372,1228,663,Outlet,High,21915
21951,Foot Locker,Northeast,New York,New York,Men's Street Footwear,44,366,1610,837,Outlet,Low,21915
22024,Walmart,Northeast,New York,New York,Men's Street Footwear,56,360,2016,1250,Online,High,21915
21991,Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,37,359,1328,452,Outlet,Low,21915
22023,Walmart,Northeast,New York,New York,Women's Apparel,48,355,1704,511,Outlet,High,21915
21939,Foot Locker,Northeast,New York,New York,Men's Street Footwear,46,354,1628,1026,Online,Low,21915
21989,Foot Locker,Northeast,New York,New York,Women's Apparel,47,352,1654,447,Outlet,Low,21915
22356,Foot Locker,Midwest,Missouri,St. Louis,Women's Street Footwear,25,350,8750,3063,In-store,Low,22281
22449,Foot Locker,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25,350,8750,3500,In-store,High,22281
22412,West Gear,West,Utah,Salt Lake City,Women's Street Footwear,25,350,8750,3063,In-store,High,22281
22535,West Gear,West,Utah,Salt Lake City,Women's Street Footwear,10,350,3500,1225,In-store,High,22281
22380,Amazon,Midwest,Ohio,Columbus,Women's Athletic Footwear,25,350,8750,3500,Online,Low,22281
22332,Sports Direct,South,Mississippi,Jackson,Men's Athletic Footwear,25,350,8750,3063,Online,Low,22281
22358,Walmart,South,Arkansas,Little Rock,Women's Street Footwear,10,350,3500,1400,Online,Low,22281
22358,Walmart,South,Arkansas,Little Rock,Women's Apparel,25,350,8750,3500,Online,Low,22281
22542,Walmart,South,Arkansas,Little Rock,Women's Street Footwear,15,350,5250,2100,Online,Low,22281
22332,West Gear,South,Oklahoma,Oklahoma City,Women's Apparel,20,350,7000,2800,Online,Low,22281
22296,Kohl's,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,25,350,8750,3063,Online,Low,22281
22296,Kohl's,South,Oklahoma,Oklahoma City,Women's Street Footwear,15,350,5250,1838,Online,High,22281
22296,Kohl's,South,Oklahoma,Oklahoma City,Women's Apparel,25,350,8750,3063,Online,Low,22281
22328,West Gear,Northeast,West Virginia,Charleston,Women's Apparel,25,350,8750,3500,In-store,Low,22281
21917,Foot Locker,Northeast,New York,New York,Women's Street Footwear,32,350,1120,414,Outlet,Low,21915
21938,Foot Locker,Northeast,New York,New York,Women's Apparel,36,350,1260,365,Outlet,High,21915
22025,Walmart,Northeast,New York,New York,Men's Athletic Footwear,43,350,1505,497,Outlet,High,21915
22029,Walmart,Northeast,New York,New York,Women's Apparel,45,350,1575,473,Outlet,Low,21915
22150,Walmart,South,Texas,Houston,Women's Apparel,38,350,1330,758,Outlet,High,21915
22289,Foot Locker,Southeast,Georgia,Atlanta,Men's Street Footwear,26,349,907,426,Outlet,Low,22281
21983,Foot Locker,Northeast,New York,New York,Women's Apparel,46,347,1596,511,Outlet,High,21915
22286,West Gear,West,California,San Francisco,Men's Street Footwear,41,341,1398,601,Outlet,High,22281
21979,Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,41,340,1394,474,Outlet,High,21915
22114,Walmart,Northeast,New York,New York,Women's Apparel,48,340,1632,490,Outlet,High,21915
22292,West Gear,West,California,San Francisco,Men's Street Footwear,41,338,1386,527,Outlet,High,22281
21915,Foot Locker,Northeast,New York,New York,Men's Street Footwear,47,336,1579,963,Online,Low,21915
21950,Foot Locker,Northeast,New York,New York,Women's Apparel,39,333,1299,351,Outlet,Low,21915
22040,Walmart,Northeast,New York,New York,Women's Street Footwear,42,333,1399,559,Outlet,High,21915
22323,West Gear,West,California,San Francisco,Men's Athletic Footwear,46,332,1527,321,Outlet,Low,22281
22547,Sports Direct,South,Texas,Dallas,Women's Street Footwear,35,332,1162,546,Outlet,Low,22281
21920,Foot Locker,Northeast,New York,New York,Women's Apparel,38,330,1254,401,Outlet,High,21915
22031,Walmart,Northeast,New York,New York,Women's Apparel,50,330,1650,462,Outlet,High,21915
22498,Foot Locker,Southeast,South Carolina,Charleston,Men's Street Footwear,62,326,2021,1152,Online,High,22281
22510,Foot Locker,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25,325,8125,3250,In-store,Low,22281
22291,West Gear,Midwest,Missouri,St. Louis,Women's Athletic Footwear,20,325,6500,2600,In-store,Low,22281
22381,West Gear,West,Utah,Salt Lake City,Men's Athletic Footwear,25,325,8125,2844,In-store,High,22281
22381,West Gear,West,Utah,Salt Lake City,Women's Street Footwear,15,325,4875,1706,In-store,Low,22281
22535,West Gear,West,Utah,Salt Lake City,Women's Athletic Footwear,10,325,3250,1300,In-store,High,22281
22535,West Gear,West,Utah,Salt Lake City,Men's Apparel,20,325,6500,2275,In-store,High,22281
22348,Amazon,Midwest,Ohio,Columbus,Women's Athletic Footwear,25,325,8125,3250,Online,Low,22281
22329,Foot Locker,South,Mississippi,Jackson,Women's Athletic Footwear,25,325,8125,3250,Online,Low,22281
22358,Walmart,South,Arkansas,Little Rock,Men's Athletic Footwear,20,325,6500,2275,Online,Low,22281
22542,Walmart,South,Arkansas,Little Rock,Women's Athletic Footwear,15,325,4875,1950,Online,Low,22281
22542,Walmart,South,Arkansas,Little Rock,Men's Apparel,25,325,8125,2844,Online,High,22281
22332,West Gear,South,Arkansas,Little Rock,Women's Street Footwear,15,325,4875,1950,Online,High,22281
22325,Kohl's,Midwest,Kansas,Wichita,Women's Apparel,20,325,6500,2275,Online,High,22281
22355,West Gear,Northeast,West Virginia,Charleston,Women's Street Footwear,20,325,6500,2600,In-store,Low,22281
21990,Foot Locker,Northeast,New York,New York,Men's Street Footwear,58,325,1885,1150,Online,High,21915
22005,Foot Locker,Northeast,New York,New York,Women's Athletic Footwear,40,324,1296,518,Outlet,High,21915
22059,Sports Direct,Southeast,Florida,Miami,Men's Street Footwear,63,323,2035,1140,Online,Low,21915
21935,Foot Locker,Northeast,New York,New York,Women's Street Footwear,32,323,1034,393,Outlet,Low,21915
21944,Foot Locker,Northeast,New York,New York,Women's Apparel,36,323,1163,314,Outlet,High,21915
22146,Walmart,South,Texas,Houston,Men's Athletic Footwear,33,323,1066,448,Outlet,Low,21915
22037,Walmart,Northeast,New York,New York,Women's Apparel,53,322,1707,478,Outlet,High,21915
22322,West Gear,West,California,San Francisco,Men's Street Footwear,40,322,1288,425,Outlet,Low,22281
22541,Sports Direct,South,Texas,Dallas,Women's Street Footwear,33,322,1063,446,Outlet,High,22281
22387,Sports Direct,South,Tennessee,Knoxville,Women's Street Footwear,30,322,966,483,Outlet,High,22281
22531,Sports Direct,South,Alabama,Birmingham,Women's Street Footwear,31,322,998,559,Outlet,High,22281
21916,Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,36,320,1152,403,Outlet,High,21915
21977,Foot Locker,Northeast,New York,New York,Women's Apparel,44,320,1408,408,Outlet,Low,21915
21984,Foot Locker,Northeast,New York,New York,Men's Street Footwear,59,319,1882,1129,Online,High,21915
22153,Walmart,South,Texas,Houston,Women's Street Footwear,37,319,1180,531,Online,High,21915
22139,Foot Locker,Southeast,Florida,Miami,Men's Street Footwear,43,319,1372,782,Online,High,21915
21985,Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,41,318,1304,482,Outlet,High,21915
21951,Foot Locker,Northeast,New York,New York,Men's Street Footwear,54,317,1712,1096,Online,High,21915
21922,Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,39,315,1229,405,Outlet,Low,21915
21940,Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,35,315,1103,397,Outlet,High,21915
21946,Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,35,315,1103,364,Outlet,High,21915
21947,Foot Locker,Northeast,New York,New York,Women's Street Footwear,28,315,882,335,Outlet,High,21915
22026,Walmart,Northeast,New York,New York,Women's Street Footwear,36,315,1134,442,Outlet,Low,21915
22028,Walmart,Northeast,New York,New York,Men's Apparel,44,315,1386,513,Outlet,Low,21915
22139,Walmart,South,Texas,Houston,Men's Street Footwear,24,315,756,295,Outlet,Low,21915
22165,Walmart,South,Texas,Houston,Women's Street Footwear,36,315,1134,431,Outlet,High,21915
22425,Kohl's,West,California,Los Angeles,Men's Street Footwear,39,315,1229,565,Outlet,Low,22281
21941,Foot Locker,Northeast,New York,New York,Women's Street Footwear,27,314,848,348,Outlet,Low,21915
21992,Foot Locker,Northeast,New York,New York,Women's Street Footwear,37,314,1162,430,Outlet,High,21915
22393,Sports Direct,South,Tennessee,Knoxville,Women's Street Footwear,39,314,1225,576,Outlet,High,22281
21921,Foot Locker,Northeast,New York,New York,Men's Street Footwear,46,313,1440,893,Online,Low,21915
21978,Foot Locker,Northeast,New York,New York,Men's Street Footwear,55,313,1722,1050,Online,Low,21915
22038,Walmart,Northeast,New York,New York,Men's Street Footwear,62,312,1934,1238,Online,Low,21915
22318,Foot Locker,Southeast,Georgia,Atlanta,Men's Street Footwear,38,312,1186,700,Online,High,22281
22033,Walmart,Northeast,New York,New York,Men's Athletic Footwear,40,312,1248,449,Outlet,High,21915
22466,Foot Locker,Southeast,South Carolina,Charleston,Men's Street Footwear,63,311,1959,1156,Online,Low,22281
22039,Walmart,Northeast,New York,New York,Men's Athletic Footwear,43,310,1333,467,Outlet,Low,21915
21991,Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,53,308,1632,669,Online,Low,21915
22495,Sports Direct,Southeast,North Carolina,Charlotte,Men's Street Footwear,61,308,1879,996,Online,High,22281
21919,Foot Locker,Northeast,New York,New York,Men's Apparel,43,306,1316,487,Outlet,Low,21915
21937,Foot Locker,Northeast,New York,New York,Men's Apparel,43,306,1316,461,Outlet,High,21915
22027,Walmart,Northeast,New York,New York,Women's Athletic Footwear,34,306,1040,406,Outlet,High,21915
22041,Walmart,Northeast,New York,New York,Women's Athletic Footwear,41,306,1255,502,Outlet,Low,21915
22127,Sports Direct,South,Texas,Houston,Men's Street Footwear,20,306,612,257,Outlet,Low,21915
22133,Sports Direct,South,Texas,Houston,Men's Street Footwear,23,306,704,260,Outlet,High,21915
22134,Sports Direct,South,Texas,Houston,Men's Athletic Footwear,29,306,887,364,Outlet,Low,21915
22291,West Gear,West,California,San Francisco,Women's Apparel,60,306,1836,477,Outlet,Low,22281
22317,West Gear,West,California,San Francisco,Men's Athletic Footwear,46,306,1408,282,Outlet,High,22281
22401,Kohl's,West,California,Los Angeles,Men's Street Footwear,36,306,1102,496,Outlet,High,22281
22384,Sports Direct,South,Tennessee,Knoxville,Women's Apparel,37,306,1132,668,Outlet,Low,22281
22477,West Gear,South,Louisiana,New Orleans,Men's Street Footwear,62,306,1897,816,Outlet,High,22281
21983,Foot Locker,Northeast,New York,New York,Women's Apparel,64,305,1952,761,Online,Low,21915
22157,Walmart,South,Texas,Houston,Men's Street Footwear,27,305,824,305,Outlet,High,21915
22158,Walmart,South,Texas,Houston,Men's Athletic Footwear,33,305,1007,382,Outlet,High,21915
22500,Foot Locker,West,Idaho,Boise,Women's Street Footwear,39,305,1190,511,Outlet,Low,22281
22175,West Gear,Southeast,Florida,Miami,Men's Street Footwear,60,304,1824,1040,Online,High,21915
22156,Walmart,South,Texas,Houston,Women's Apparel,36,302,1087,565,Outlet,Low,21915
22298,West Gear,West,California,San Francisco,Men's Street Footwear,45,302,1359,544,Outlet,Low,22281
22371,Sports Direct,South,Tennessee,Knoxville,Men's Apparel,30,300,9000,3150,Outlet,High,22281
22551,Sports Direct,South,Alabama,Birmingham,Men's Apparel,30,300,9000,4050,Outlet,High,22281
22419,Foot Locker,Midwest,Missouri,St. Louis,Women's Street Footwear,30,300,9000,3150,In-store,High,22281
22542,Foot Locker,Midwest,Missouri,St. Louis,Women's Street Footwear,15,300,4500,1575,In-store,High,22281
22322,West Gear,West,Utah,Salt Lake City,Women's Athletic Footwear,20,300,6000,2400,In-store,High,22281
22302,Amazon,Midwest,Ohio,Columbus,Women's Street Footwear,30,300,9000,3600,Online,High,22281
22387,Foot Locker,South,Mississippi,Jackson,Women's Athletic Footwear,20,300,6000,2400,Online,High,22281
22303,Sports Direct,South,Mississippi,Jackson,Women's Athletic Footwear,20,300,6000,2400,Online,Low,22281
22390,Walmart,South,Arkansas,Little Rock,Men's Athletic Footwear,25,300,7500,2625,Online,Low,22281
22390,Walmart,South,Arkansas,Little Rock,Women's Street Footwear,15,300,4500,1800,Online,High,22281
22325,Kohl's,South,Oklahoma,Oklahoma City,Women's Street Footwear,15,300,4500,1575,Online,Low,22281
22383,Kohl's,Midwest,Kansas,Wichita,Women's Apparel,30,300,9000,3150,Online,High,22281
22434,West Gear,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,30,300,9000,3150,In-store,Low,22281
22290,West Gear,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,25,300,7500,2625,In-store,High,22281
22321,West Gear,Midwest,Indiana,Indianapolis,Women's Apparel,20,300,6000,2400,In-store,High,22281
22297,West Gear,Midwest,Indiana,Indianapolis,Women's Street Footwear,25,300,7500,3000,In-store,High,22281
22328,West Gear,Midwest,Indiana,Indianapolis,Women's Street Footwear,30,300,9000,3600,In-store,High,22281
22287,Sports Direct,Northeast,New Jersey,Newark,Women's Street Footwear,30,300,9000,2700,In-store,High,22281
21945,Foot Locker,Northeast,New York,New York,Men's Street Footwear,45,300,1350,837,Online,High,21915
22039,Walmart,Northeast,New York,New York,Men's Athletic Footwear,51,300,1530,643,Online,Low,21915
22029,West Gear,Southeast,Florida,Miami,Men's Street Footwear,52,300,1560,874,Online,High,21915
22032,Walmart,Northeast,New York,New York,Men's Street Footwear,60,299,1794,1076,Online,Low,21915
22169,West Gear,Southeast,Florida,Miami,Men's Street Footwear,60,299,1794,1076,Online,Low,21915
22168,Walmart,South,Texas,Houston,Women's Apparel,42,298,1252,713,Outlet,Low,21915
22484,West Gear,West,Oregon,Portland,Men's Street Footwear,60,298,1788,751,Outlet,High,22281
22159,Walmart,South,Texas,Houston,Women's Street Footwear,39,297,1158,533,Online,Low,21915
21981,Foot Locker,Northeast,New York,New York,Women's Athletic Footwear,38,297,1129,429,Outlet,High,21915
22389,Kohl's,West,California,Los Angeles,Men's Street Footwear,36,297,1069,470,Outlet,Low,22281
22477,Walmart,Southeast,Florida,Orlando,Men's Street Footwear,68,297,2020,747,Outlet,Low,22281
21952,Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,37,296,1095,383,Outlet,High,21915
21980,Foot Locker,Northeast,New York,New York,Women's Street Footwear,37,296,1095,449,Outlet,High,21915
21986,Foot Locker,Northeast,New York,New York,Women's Street Footwear,35,295,1033,434,Outlet,Low,21915
22144,Walmart,South,Texas,Houston,Women's Apparel,32,295,944,538,Outlet,Low,21915
22145,Walmart,South,Texas,Houston,Men's Street Footwear,28,295,826,339,Outlet,High,21915
22151,Walmart,South,Texas,Houston,Men's Street Footwear,29,295,856,342,Outlet,High,21915
22463,Sports Direct,Southeast,North Carolina,Charlotte,Men's Street Footwear,60,294,1764,882,Online,High,22281
22034,Walmart,Northeast,New York,New York,Women's Street Footwear,43,294,1264,531,Outlet,High,21915
22156,Walmart,South,Texas,Houston,Women's Apparel,47,293,1377,868,Online,High,21915
22322,West Gear,West,California,San Francisco,Men's Street Footwear,51,293,1494,598,Online,Low,22281
21938,Foot Locker,Northeast,New York,New York,Women's Apparel,48,290,1392,529,Online,Low,21915
21977,Foot Locker,Northeast,New York,New York,Women's Apparel,59,290,1711,616,Online,High,21915
22023,Walmart,Northeast,New York,New York,Women's Apparel,62,290,1798,665,Online,Low,21915
22031,Walmart,Northeast,New York,New York,Women's Apparel,68,290,1972,749,Online,Low,21915
22114,Walmart,Northeast,New York,New York,Women's Apparel,68,290,1972,690,Online,High,21915
22029,West Gear,Southeast,Florida,Miami,Men's Street Footwear,55,290,1595,941,Online,Low,21915
22619,Foot Locker,Southeast,South Carolina,Charleston,Men's Street Footwear,67,290,1943,1166,Online,High,22281
21943,Foot Locker,Northeast,New York,New York,Men's Apparel,43,289,1243,398,Outlet,Low,21915
21948,Foot Locker,Northeast,New York,New York,Women's Athletic Footwear,31,289,896,331,Outlet,Low,21915
21954,Foot Locker,Northeast,New York,New York,Women's Athletic Footwear,33,289,954,381,Outlet,High,21915
22030,Walmart,Northeast,New York,New York,Men's Apparel,51,289,1474,472,Outlet,High,21915
22122,Sports Direct,South,Texas,Houston,Men's Athletic Footwear,23,289,665,279,Outlet,High,21915
22226,West Gear,West,California,San Francisco,Men's Street Footwear,28,289,809,340,Outlet,Low,21915
22310,West Gear,West,California,San Francisco,Men's Street Footwear,36,289,1040,343,Outlet,High,22281
22407,Kohl's,West,California,Los Angeles,Men's Street Footwear,38,289,1098,505,Outlet,High,22281
22477,Foot Locker,South,Mississippi,Jackson,Men's Street Footwear,47,289,1358,625,Outlet,Low,22281
21953,Foot Locker,Northeast,New York,New York,Women's Street Footwear,36,288,1037,435,Outlet,High,21915
21982,Foot Locker,Northeast,New York,New York,Men's Apparel,45,288,1296,441,Outlet,High,21915
22426,Kohl's,West,California,Los Angeles,Men's Athletic Footwear,42,288,1210,339,Outlet,Low,22281
22321,West Gear,Southeast,Florida,Orlando,Men's Street Footwear,36,288,1037,487,Outlet,Low,22281
22528,Foot Locker,Southeast,South Carolina,Charleston,Men's Street Footwear,51,287,1464,849,Online,Low,22281
22140,Walmart,South,Texas,Houston,Men's Athletic Footwear,30,287,861,362,Outlet,High,21915
22304,West Gear,West,California,San Francisco,Men's Street Footwear,40,287,1148,402,Outlet,Low,22281
22305,West Gear,West,California,San Francisco,Men's Athletic Footwear,42,287,1205,205,Outlet,High,22281
21989,Foot Locker,Northeast,New York,New York,Women's Apparel,61,286,1745,698,Online,High,21915
22040,Walmart,Northeast,New York,New York,Women's Street Footwear,54,285,1539,723,Online,High,21915
22393,Sports Direct,South,Tennessee,Knoxville,Women's Street Footwear,46,285,1311,787,Online,High,22281
22152,Walmart,South,Texas,Houston,Men's Athletic Footwear,32,285,912,383,Outlet,High,21915
22395,Kohl's,West,California,Los Angeles,Men's Street Footwear,30,285,855,402,Outlet,Low,22281
22181,Foot Locker,Southeast,Florida,Miami,Men's Street Footwear,53,284,1505,828,Online,Low,21915
22376,Foot Locker,Southeast,South Carolina,Charleston,Men's Street Footwear,33,283,934,532,Online,Low,22281
22405,Foot Locker,Southeast,South Carolina,Charleston,Men's Street Footwear,48,282,1354,744,Online,Low,22281
21918,Foot Locker,Northeast,New York,New York,Women's Athletic Footwear,36,281,1012,374,Outlet,High,21915
21949,Foot Locker,Northeast,New York,New York,Men's Apparel,44,281,1236,445,Outlet,Low,21915
22288,West Gear,West,California,San Francisco,Women's Street Footwear,42,281,1180,531,Outlet,High,22281
22289,Foot Locker,Southeast,Georgia,Atlanta,Women's Apparel,30,281,843,447,Outlet,High,22281
22029,Walmart,Northeast,New York,New York,Women's Apparel,59,280,1652,661,Online,Low,21915
21955,Foot Locker,Northeast,New York,New York,Men's Apparel,47,280,1316,461,Outlet,High,21915
22036,Walmart,Northeast,New York,New York,Men's Apparel,47,280,1316,474,Outlet,Low,21915
22311,West Gear,West,California,San Francisco,Men's Athletic Footwear,39,280,1092,197,Outlet,High,22281
22534,Sports Direct,South,Texas,Dallas,Men's Athletic Footwear,40,280,1120,459,Outlet,High,22281
22538,Sports Direct,South,Texas,Dallas,Women's Apparel,42,280,1176,647,Outlet,Low,22281
22528,Sports Direct,South,Alabama,Birmingham,Women's Apparel,36,280,1008,645,Outlet,High,22281
22534,Sports Direct,South,Alabama,Birmingham,Women's Apparel,47,280,1316,921,Outlet,High,22281
22022,Walmart,Northeast,New York,New York,Men's Apparel,43,279,1200,396,Outlet,Low,21915
22042,Walmart,Northeast,New York,New York,Men's Apparel,48,279,1339,496,Outlet,High,21915
21980,Foot Locker,Northeast,New York,New York,Women's Street Footwear,46,278,1279,614,Online,Low,21915
22180,Foot Locker,Southeast,Florida,Miami,Women's Apparel,56,278,1557,950,Online,High,21915
22498,Foot Locker,Southeast,South Carolina,Charleston,Women's Apparel,58,278,1612,984,Online,High,22281
22590,Foot Locker,Southeast,South Carolina,Charleston,Men's Street Footwear,50,278,1390,792,Online,High,22281
21988,Foot Locker,Northeast,New York,New York,Men's Apparel,46,278,1279,435,Outlet,Low,21915
22526,Sports Direct,Northeast,Connecticut,Hartford,Men's Apparel,55,175,9625,2888,In-store,High,22281
22299,West Gear,West,California,San Francisco,Men's Athletic Footwear,47,278,1307,287,Outlet,Low,22281
22537,Sports Direct,South,Alabama,Birmingham,Women's Street Footwear,36,278,1001,530,Outlet,Low,22281
22467,West Gear,West,Idaho,Boise,Women's Street Footwear,34,278,945,397,Outlet,High,22281
22292,West Gear,West,California,San Francisco,Men's Street Footwear,56,277,1551,698,Online,Low,22281
21935,Foot Locker,Northeast,New York,New York,Women's Street Footwear,36,276,994,467,Online,Low,21915
22144,Walmart,South,Texas,Houston,Women's Apparel,37,276,1021,643,Online,Low,21915
22341,Sports Direct,Southeast,North Carolina,Charlotte,Men's Street Footwear,28,276,773,417,Online,High,22281
22515,Sports Direct,South,Alabama,Birmingham,Men's Apparel,25,275,6875,2750,Outlet,High,22281
22298,Foot Locker,Midwest,Michigan,Detroit,Women's Athletic Footwear,25,275,6875,2750,In-store,High,22281
22388,Foot Locker,Midwest,Missouri,St. Louis,Men's Athletic Footwear,30,275,8250,2888,In-store,Low,22281
22388,Foot Locker,Midwest,Missouri,St. Louis,Women's Street Footwear,20,275,5500,1925,In-store,High,22281
22542,Foot Locker,Midwest,Missouri,St. Louis,Women's Athletic Footwear,15,275,4125,1650,In-store,High,22281
22542,Foot Locker,Midwest,Missouri,St. Louis,Men's Apparel,25,275,6875,2406,In-store,High,22281
22412,West Gear,West,Utah,Salt Lake City,Women's Athletic Footwear,25,275,6875,2750,In-store,Low,22281
22355,Foot Locker,South,Mississippi,Jackson,Women's Athletic Footwear,20,275,5500,2200,Online,High,22281
22332,West Gear,South,Arkansas,Little Rock,Men's Athletic Footwear,25,275,6875,2406,Online,Low,22281
22358,West Gear,South,Oklahoma,Oklahoma City,Women's Street Footwear,10,275,2750,1100,Online,Low,22281
22358,West Gear,South,Oklahoma,Oklahoma City,Women's Apparel,25,275,6875,2750,Online,High,22281
22542,West Gear,South,Oklahoma,Oklahoma City,Women's Street Footwear,15,275,4125,1650,Online,High,22281
22292,Foot Locker,Midwest,Kansas,Wichita,Women's Street Footwear,30,275,8250,2475,Online,High,22281
22289,Sports Direct,Midwest,South Dakota,Sioux Falls,Women's Street Footwear,25,275,6875,2063,Online,Low,22281
22320,Sports Direct,Midwest,North Dakota,Fargo,Women's Apparel,25,275,6875,2750,Online,Low,22281
22437,Foot Locker,Midwest,Iowa,Des Moines,Men's Athletic Footwear,30,275,8250,2888,In-store,Low,22281
22530,Foot Locker,Midwest,Iowa,Des Moines,Men's Athletic Footwear,30,275,8250,2888,In-store,High,22281
22348,West Gear,Midwest,Indiana,Indianapolis,Women's Street Footwear,15,275,4125,1444,In-store,Low,22281
22348,West Gear,Midwest,Indiana,Indianapolis,Women's Apparel,25,275,6875,2750,In-store,Low,22281
22534,West Gear,Midwest,Indiana,Indianapolis,Men's Athletic Footwear,30,275,8250,3300,In-store,Low,22281
22355,West Gear,Northeast,West Virginia,Charleston,Men's Athletic Footwear,30,275,8250,3300,In-store,High,22281
22326,Foot Locker,Northeast,Maryland,Baltimore,Women's Street Footwear,30,275,8250,3300,In-store,High,22281
22352,Foot Locker,Northeast,Delaware,Wilmington,Women's Street Footwear,30,275,8250,3300,In-store,High,22281
22290,Kohl's,Northeast,Delaware,Wilmington,Women's Street Footwear,25,275,6875,2750,In-store,Low,22281
22033,Walmart,Northeast,New York,New York,Men's Athletic Footwear,53,273,1447,622,Online,Low,21915
22286,West Gear,West,California,San Francisco,Men's Street Footwear,56,273,1529,764,Online,Low,22281
22298,West Gear,West,California,San Francisco,Men's Street Footwear,62,273,1693,779,Online,Low,22281
